query,query_clean,extracted_product_type,extracted_print_design,extracted_colors,extracted_sizes,extracted_dimensions,extracted_brands,extracted_device_models,extracted_materials,extracted_audience,extracted_power_source,extracted_categories,extracted_is_replica,n_attributes
шнурки ralf ringer,шнурки ralf ringer,[],[],[],[],[],['ralf ringer'],[],[],[],[],['tools'],[],2
игла для сбора крови,игла для сбора крови,[],[],[],[],[],[],[],[],[],[],['hobbies'],[],1
уплотнитель для холодильника минск,уплотнитель для холодильника минск,[],[],[],[],[],[],[],[],[],[],['appliances'],[],1
фигуры на кладбище,фигуры на кладбище,[],[],[],[],[],[],[],[],[],[],['home_decor'],[],1
домашняя одежда для женщин утепленная,домашняя одежда для женщин утепленная,[],[],[],[],[],[],[],[],['women'],[],['footwear'],[],2
игрушка вокалоид,игрушка вокалоид,['игрушка'],[],[],[],[],[],[],[],[],[],['kids'],[],2
терморегулятор для холодильника atlant,терморегулятор для холодильника atlant,[],[],[],[],[],[],[],[],[],[],['appliances'],[],1
орлята россии плакаты а3,орлята россии плакаты а3,[],[],[],[],[],[],[],[],[],[],['clothing'],[],1
trendvision proof 360 gps,trendvision proof 360 gps,['навигатор'],[],[],[],[],[],[],[],[],[],['electronics'],[],2
мотор колесо для велосипеда 20,мотор колесо для велосипеда 20,[],[],[],[],[],[],[],[],[],[],['sports'],[],1
